influence,times
0,18315
1,9650
2,7829
3,7857
4,7211
5,6160
6,5062
7,4504
8,3798
9,3149
10,2751
11,2332
12,2017
13,1724
14,1497
15,1367
16,1251
17,1009
18,978
19,796
20,720
21,678
22,605
23,531
24,496
25,428
26,421
27,385
28,332
29,335
30,308
31,263
32,254
33,261
34,258
35,223
36,224
37,215
38,181
39,160
40,161
41,132
42,139
43,127
44,129
45,117
46,106
47,101
48,111
49,103
50,90
51,81
52,82
53,62
54,82
55,75
56,71
57,77
58,64
59,51
60,45
61,51
62,34
63,50
64,42
65,38
66,50
67,45
68,37
69,40
70,27
71,34
72,33
73,29
74,31
75,37
76,21
77,26
78,24
79,30
80,31
81,24
82,24
83,16
84,25
85,20
86,14
87,22
88,20
89,20
90,15
91,15
92,20
93,7
94,13
95,19
96,12
97,9
98,10
99,12
100,13
101,8
102,13
103,14
104,10
105,5
106,11
107,11
108,6
109,10
110,5
111,6
112,7
113,8
114,8
115,4
116,5
117,8
118,5
119,4
120,6
121,5
122,6
123,4
124,4
125,2
126,1
127,5
128,5
129,4
130,3
131,5
132,3
133,2
134,5
135,6
136,3
137,3
138,2
139,3
140,5
141,2
142,3
143,4
145,2
148,2
149,1
150,2
151,2
153,1
156,1
157,2
158,1
159,1
160,1
161,1
162,2
163,2
164,3
165,3
167,3
168,4
169,1
170,4
171,1
172,4
173,3
174,2
175,1
176,1
177,3
178,2
179,3
180,2
181,1
182,5
183,2
185,3
186,3
187,4
188,5
189,4
190,3
191,10
192,3
193,1
194,2
195,3
196,3
198,2
199,1
200,1
201,1
203,2
204,2
206,3
207,1
208,2
209,1
210,3
212,2
213,2
214,2
215,1
216,2
217,2
218,1
219,1
220,1
221,1
224,1
226,1
228,3
229,1
230,1
232,2
233,1
235,1
236,1
237,1
242,1
243,1
244,1
246,1
248,1
250,1
255,1
259,1
263,1
265,2
275,1
278,1
280,1
286,1
287,1
304,1
317,1
320,1
437,1
